Ticker,Company,Date,Time,Quarter Ending, Market Cap 
AA,Alcoa Corporation,22-Jan-26,,Dec-25," 8,932,690,000 "
AAKASH,Aakash Exploration Services Limited,22-Jan-26,,Dec-25," 9,730,000 "
ABSLAMC,Aditya Birla Sun Life AMC Limited,22-Jan-26,,Dec-25," 2,414,870,000 "
ABT,Abbott Laboratories,22-Jan-26,,Dec-25," 186,785,560,000 "
ACCELYA,Accelya Solutions India Limited,20-Jan-26,,Dec-25," 214,740,000 "
ACMR,"ACM Research, Inc.",22-Jan-26,Pre Market,Dec-25," 3,234,090,000 "
ACNB,ACNB Corporation,22-Jan-26,,Dec-25," 536,480,000 "
ADANIENSOL,Adani Energy Solutions Limited,22-Jan-26,,Dec-25," 12,399,230,000 "
ADMCM,Admicom Oyj,21-Jan-26,,Dec-25," 270,750,000 "
AFI,Australian Foundation Investment Company Limited,20-Jan-26,,Dec-25," 5,987,090,000 "
ALK,"Alaska Air Group, Inc.",22-Jan-26,,Dec-25," 5,036,230,000 "
ALLEI,Alleima AB (publ),20-Jan-26,,Dec-25," 2,446,060,000 "
ALLY,Ally Financial Inc.,21-Jan-26,Pre Market,Dec-25," 12,198,430,000 "
AMAL,Amalgamated Financial Corp.,22-Jan-26,,Dec-25," 1,133,700,000 "
AMBER,Amber Enterprises India Limited,21-Jan-26,,Dec-25," 2,592,350,000 "
AMH,AMCIL Limited,22-Jan-26,,Dec-25," 216,320,000 "
AMTB,Amerant Bancorp Inc.,22-Jan-26,,Dec-25," 862,290,000 "
ANCOMNY,Ancom Nylex Berhad,20-Jan-26,,Nov-25," 240,200,000 "
APTECHT,Aptech Limited,23-Jan-26,,Dec-25," 66,800,000 "
ARG,Argan SA,22-Jan-26,,Dec-25," 1,982,480,000 "
ASAL,Automotive Stampings and Assemblies Limited,23-Jan-26,,Dec-25," 70,300,000 "
ASB,Associated Banc-Corp,22-Jan-26,,Dec-25," 4,425,770,000 "
ASRV,"AmeriServ Financial, Inc.",20-Jan-26,,Dec-25," 50,890,000 "
ATGL,Adani Total Gas Limited,22-Jan-26,,Dec-25," 7,894,340,000 "
ATLO,Ames National Corporation,23-Jan-26,,Dec-25," 215,810,000 "
AUB,Atlantic Union Bankshares Corporation,22-Jan-26,,Dec-25," 4,661,770,000 "
AUBANK,AU Small Finance Bank Limited,20-Jan-26,,Dec-25," 8,424,870,000 "
AVBC,"Avidia Bancorp, Inc.",22-Jan-26,,Dec-25," 345,910,000 "
AXREIT,Axis Real Estate Investment Trust,21-Jan-26,,Dec-25," 1,017,100,000 "
AZA,Avanza Bank Holding AB (publ),21-Jan-26,,Dec-25," 5,871,150,000 "
BAH,Booz Allen Hamilton Holding Corporation,23-Jan-26,,Dec-25," 12,820,330,000 "
BANC,"Banc of California, Inc.",21-Jan-26,After Hours,Dec-25," 663,970,000 "
BANDHANBNK,Bandhan Bank Limited,22-Jan-26,,Dec-25," 2,680,260,000 "
BANF,BancFirst Corporation,22-Jan-26,,Dec-25," 3,727,090,000 "
BANKINDIA,Bank of India Limited,21-Jan-26,,Dec-25," 7,585,570,000 "
BANR,Banner Corporation,21-Jan-26,After Hours,Dec-25," 2,123,890,000 "
BAY,Bank of Ayudhya Public Company Limited,20-Jan-26,,Dec-25," 6,142,280,000 "
BBL,Bangkok Bank Public Company Limited,20-Jan-26,,Dec-25," 8,769,160,000 "
BCML,BayCom Corp,22-Jan-26,,Dec-25," 315,550,000 "
BFC,Bank First Corporation,20-Jan-26,,Dec-25," 1,215,510,000 "
BFST,"Business First Bancshares, Inc.",22-Jan-26,,Dec-25," 891,620,000 "
BHARATGEAR,Bharat Gears Limited,22-Jan-26,,Dec-25," 18,340,000 "
BHB,Bar Harbor Bankshares,22-Jan-26,,Dec-25," 549,050,000 "
BHRB,Burke & Herbert Financial Services Corp.,22-Jan-26,,Dec-25," 1,041,180,000 "
BIOQ,"Bioqual, Inc.",22-Jan-26,,Nov-25," 34,440,000 "
BKT,"Bankinter, S.A.",22-Jan-26,,Dec-25," 14,554,030,000 "
BKU,"BankUnited, Inc.",21-Jan-26,Pre Market,Dec-25," 3,437,020,000 "
BLBLIMITED,BLB Limited,20-Jan-26,,Dec-25," 7,730,000 "
BLM,BluMetric Environmental Inc.,23-Jan-26,,Dec-25, - 
BLU,GRP Limited,22-Jan-26,,Dec-25," 5,950,000 "
BMV,Bathurst Metals Corp.,23-Jan-26,,Dec-25," 1,810,000 "
BPCL,Bharat Petroleum Corporation Limited,23-Jan-26,,Dec-25," 18,391,510,000 "
BSHSL,Bombay Super Hybrid Seeds Limited,23-Jan-26,,Dec-25," 122,220,000 "
BVFL,"BV Financial, Inc.",23-Jan-26,,Dec-25," 180,690,000 "
BY,"Byline Bancorp, Inc.",22-Jan-26,,Dec-25," 1,408,020,000 "
CACI,CACI International Inc,21-Jan-26,,Dec-25," 11,661,910,000 "
CADE,Cadence Bank,22-Jan-26,,Dec-25," 7,239,890,000 "
CADE,Cadence Bancorporation,22-Jan-26,,Dec-25," 2,460,150,000 "
CAPITALSFB,Capital Small Finance Bank Limited,23-Jan-26,,Dec-25," 134,520,000 "
CAPT,Capitan Silver Corp.,20-Jan-26,,Dec-25," 192,250,000 "
CAQ,CAQ Holdings Limited,21-Jan-26,,Dec-25," 4,430,000 "
CARE,"Carter Bankshares, Inc.",22-Jan-26,,Dec-25," 445,270,000 "
CASH,"Pathward Financial, Inc.",22-Jan-26,,Dec-25," 1,900,370,000 "
CASS,"Cass Information Systems, Inc.",22-Jan-26,,Dec-25," 584,870,000 "
CATY,Cathay General Bancorp,22-Jan-26,,Dec-25," 3,466,470,000 "
CBKM,"Consumers Bancorp, Inc.",21-Jan-26,,Dec-25," 84,280,000 "
CBSH,"Commerce Bancshares, Inc.",22-Jan-26,,Dec-25," 7,884,260,000 "
CCCM,C3 Metals Inc.,20-Jan-26,,Nov-25," 94,380,000 "
