Ticker,Company,Date,Time,Quarter Ending,  Market Cap (bil$) 
AAPL,Apple Inc.,29-Jan-26,After Hours,25-Dec,"3,755,761"
V,Visa Inc.,29-Jan-26,After Hours,25-Dec,"627,788"
MA,Mastercard Incorporated,29-Jan-26,Pre Market,25-Dec,"484,460"
ROG,Roche Holding AG,29-Jan-26,,25-Dec,"370,914"
CAT,Caterpillar Inc.,29-Jan-26,,25-Dec,"302,731"
SAP,SAP SE,29-Jan-26,Pre Market,25-Dec,"272,488"
TMO,Thermo Fisher Scientific Inc.,29-Jan-26,,25-Dec,"235,186"
KLAC,KLA Corporation,29-Jan-26,,25-Dec,"198,768"
6501,"Hitachi, Ltd.",29-Jan-26,,25-Dec,"153,613"
HON,Honeywell International Inc.,29-Jan-26,Pre Market,25-Dec,"140,602"
ABBN,ABB Ltd,29-Jan-26,,25-Dec,"139,029"
LMT,Lockheed Martin Corporation,29-Jan-26,Pre Market,25-Dec,"136,714"
SYK,Stryker Corporation,29-Jan-26,After Hours,25-Dec,"135,776"
BX,Blackstone Inc.,29-Jan-26,Pre Market,25-Dec,"117,785"
PH,Parker-Hannifin Corporation,29-Jan-26,Pre Market,25-Dec,"117,100"
SAN,Sanofi,29-Jan-26,Pre Market,25-Dec,"113,339"
CMCSA,Comcast Corporation,29-Jan-26,Pre Market,25-Dec,"106,766"
MO,"Altria Group, Inc.",29-Jan-26,,25-Dec,"103,927"
6861,Keyence Corporation,29-Jan-26,,25-Dec,"92,593"
4519,"Chugai Pharmaceutical Co., Ltd.",29-Jan-26,,25-Dec,"92,445"
MRSH,"Marsh & McLennan Companies, Inc.",29-Jan-26,,25-Dec,"89,732"
SHW,The Sherwin-Williams Company,29-Jan-26,,25-Dec,"85,899"
TT,Trane Technologies plc,29-Jan-26,Pre Market,25-Dec,"85,640"
INGA,ING Groep N.V.,29-Jan-26,,25-Dec,"82,691"
A005380,Hyundai Motor Company,29-Jan-26,,25-Dec,"81,607"
WDC,Western Digital Corporation,29-Jan-26,After Hours,25-Dec,"80,822"
RCL,Royal Caribbean Cruises Ltd.,29-Jan-26,Pre Market,25-Dec,"78,026"
DBK,Deutsche Bank Aktiengesellschaft,29-Jan-26,,25-Dec,"74,123"
NDA FI,Nordea Bank Abp,29-Jan-26,,25-Dec,"67,136"
LHX,"L3Harris Technologies, Inc.",29-Jan-26,Pre Market,25-Dec,"66,353"
AJG,Arthur J. Gallagher & Co.,29-Jan-26,After Hours,25-Dec,"65,026"
NSC,Norfolk Southern Corporation,29-Jan-26,Pre Market,25-Dec,"64,491"
VLO,Valero Energy Corporation,29-Jan-26,Pre Market,25-Dec,"57,064"
NDAQ,"Nasdaq, Inc.",29-Jan-26,Pre Market,25-Dec,"55,986"
4502,Takeda Pharmaceutical Company Limited,29-Jan-26,Pre Market,25-Dec,"51,863"
6701,NEC Corporation,29-Jan-26,,25-Dec,"49,922"
6702,Fujitsu Limited,29-Jan-26,,25-Dec,"49,365"
