Ticker,Company,Date,Time,Quarter Ending, Market Cap 
PLTR,Palantir Technologies Inc.,02-Feb-26,After Hours,Dec-25," 349,387,930,000 "
DIS,The Walt Disney Company,02-Feb-26,,Dec-25," 201,380,580,000 "
ISP,Intesa Sanpaolo S.p.A.,02-Feb-26,,Dec-25," 123,582,780,000 "
8411,"Mizuho Financial Group, Inc.",02-Feb-26,,Dec-25," 108,869,480,000 "
ITUB4,Itaú Unibanco Holding S.A.,02-Feb-26,,Dec-25," 91,584,130,000 "
SPG,"Simon Property Group, Inc.",02-Feb-26,After Hours,Dec-25," 62,220,110,000 "
NXPI,NXP Semiconductors N.V.,02-Feb-26,After Hours,Dec-25," 56,913,660,000 "
IDXX,"IDEXX Laboratories, Inc.",02-Feb-26,Pre Market,Dec-25," 53,537,120,000 "
6981,"Murata Manufacturing Co., Ltd.",02-Feb-26,,Dec-25," 39,312,390,000 "
TER,"Teradyne, Inc.",02-Feb-26,After Hours,Dec-25," 35,729,400,000 "
9020,East Japan Railway Company,02-Feb-26,,Dec-25," 28,273,480,000 "
9022,Central Japan Railway Company,02-Feb-26,,Dec-25," 25,620,450,000 "
6762,TDK Corporation,02-Feb-26,,Dec-25," 25,069,090,000 "
1010,Riyad Bank,02-Feb-26,,Dec-25," 21,317,660,000 "
6971,Kyocera Corporation,02-Feb-26,,Dec-25," 18,668,240,000 "
TSN,"Tyson Foods, Inc.",02-Feb-26,Pre Market,Dec-25," 18,514,240,000 "
1150,Alinma Bank,02-Feb-26,,Dec-25," 17,890,950,000 "
1060,Saudi Awwal Bank,02-Feb-26,,Dec-25," 17,805,850,000 "
APTV,Aptiv PLC,02-Feb-26,Pre Market,Dec-25," 16,986,000,000 "
WWD,"Woodward, Inc.",02-Feb-26,After Hours,Dec-25," 15,454,490,000 "
BAER,Julius Bär Gruppe AG,02-Feb-26,,Dec-25," 14,222,320,000 "
DOC,"Healthpeak Properties, Inc.",02-Feb-26,After Hours,Dec-25," 13,460,670,000 "
A000810,"Samsung Fire & Marine Insurance Co., Ltd.",02-Feb-26,,Dec-25," 13,406,950,000 "
FN,Fabrinet,02-Feb-26,After Hours,Dec-25," 13,077,030,000 "
1140,Bank Albilad,02-Feb-26,,Dec-25," 11,582,460,000 "
9532,"Osaka Gas Co., Ltd.",02-Feb-26,,Dec-25," 11,248,270,000 "
8601,Daiwa Securities Group Inc.,02-Feb-26,,Dec-25," 11,033,390,000 "
RVTY,"Revvity, Inc.",02-Feb-26,Pre Market,Dec-25," 10,916,630,000 "
RMBS,Rambus Inc.,02-Feb-26,,Dec-25," 10,758,310,000 "
INDUSTOWER,Indus Towers Limited,02-Feb-26,,Dec-25," 10,489,070,000 "
9502,"Chubu Electric Power Company, Incorporated",02-Feb-26,,Dec-25," 10,469,580,000 "
3008,"LARGAN Precision Co.,Ltd",02-Feb-26,,Dec-25," 10,468,010,000 "
DVA,DaVita Inc.,02-Feb-26,After Hours,Dec-25," 9,377,940,000 "
POLICYBZR,PB Fintech Limited,02-Feb-26,,Dec-25," 8,797,680,000 "
CHMF,Public Joint Stock Company Severstal,02-Feb-26,,Dec-25," 8,355,870,000 "
4768,Otsuka Corporation,02-Feb-26,,Dec-25," 7,822,900,000 "
GICRE,General Insurance Corporation of India,02-Feb-26,,Dec-25," 7,374,710,000 "
AKBNK,Akbank T.A.S.,02-Feb-26,,Dec-25," 7,252,370,000 "
512070,UPL Limited,02-Feb-26,,Dec-25," 7,248,480,000 "
8331,"The Chiba Bank, Ltd.",02-Feb-26,,Dec-25," 6,921,950,000 "
SUNDARMFIN,Sundaram Finance Limited,02-Feb-26,,Dec-25," 6,622,390,000 "
MTG,MGIC Investment Corporation,02-Feb-26,After Hours,Dec-25," 6,613,780,000 "
4030,The National Shipping Company of Saudi Arabia,02-Feb-26,,Dec-25," 6,555,590,000 "
9064,"Yamato Holdings Co., Ltd.",02-Feb-26,,Dec-25," 4,859,450,000 "
NJR,New Jersey Resources Corporation,02-Feb-26,,Dec-25," 4,719,210,000 "
ARG,Argo Investments Limited,02-Feb-26,,Dec-25," 4,689,630,000 "
HESM,Hess Midstream LP,02-Feb-26,Pre Market,Dec-25," 4,510,620,000 "
1020,Bank AlJazira,02-Feb-26,,Dec-25," 4,441,070,000 "
513683,NLC India Limited,02-Feb-26,,Dec-25," 4,420,930,000 "
2282,NH Foods Ltd.,02-Feb-26,,Dec-25," 4,140,020,000 "
USLM,"United States Lime & Minerals, Inc.",02-Feb-26,,Dec-25," 3,627,740,000 "
THERMAX,Thermax Limited,02-Feb-26,,Dec-25," 3,475,460,000 "
517174,Honeywell Automation India Limited,02-Feb-26,,Dec-25," 3,347,410,000 "
PCH,PotlatchDeltic Corporation,02-Feb-26,,Dec-25," 3,159,660,000 "
ZUGER,Zuger Kantonalbank,02-Feb-26,,Dec-25," 3,121,230,000 "
F&N,Fraser & Neave Holdings Bhd,02-Feb-26,,Dec-25," 3,120,350,000 "
ARLP,"Alliance Resource Partners, L.P.",02-Feb-26,Pre Market,Dec-25," 3,105,390,000 "
VFQS,Vodafone Qatar P.Q.S.C.,02-Feb-26,,Dec-25," 2,877,460,000 "
7337,"Hirogin Holdings, Inc.",02-Feb-26,,Dec-25," 2,819,650,000 "
3132,"Macnica Holdings, Inc.",02-Feb-26,,Dec-25," 2,552,430,000 "
KINV B,Kinnevik AB,02-Feb-26,,Dec-25," 2,510,200,000 "
ERIS,Eris Lifesciences Limited,02-Feb-26,,Dec-25," 2,422,480,000 "
ASH,Ashland Inc.,02-Feb-26,After Hours,Dec-25," 2,302,820,000 "
CUB,City Union Bank Limited,02-Feb-26,,Dec-25," 2,196,260,000 "
500770,Tata Chemicals Limited,02-Feb-26,,Dec-25," 2,150,570,000 "
BASF,BASF India Limited,02-Feb-26,,Dec-25," 2,146,150,000 "
531768,Poly Medicure Limited,02-Feb-26,,Dec-25," 2,144,590,000 "
A204320,HL Mando Corporation,02-Feb-26,,Dec-25," 2,098,530,000 "
APLLTD,Alembic Pharmaceuticals Limited,02-Feb-26,,Dec-25," 1,997,810,000 "
C2PU,Parkway Life Real Estate Investment Trust,02-Feb-26,,Dec-25," 1,985,460,000 "
7451,"Mitsubishi Shokuhin Co., Ltd.",02-Feb-26,,Dec-25," 1,828,980,000 "
TWST,Twist Bioscience Corporation,02-Feb-26,Pre Market,Dec-25," 1,814,450,000 "
A000240,"Hankook & Company Co., Ltd.",02-Feb-26,,Dec-25," 1,809,470,000 "
4272,"Nippon Kayaku Co., Ltd.",02-Feb-26,,Dec-25," 1,763,100,000 "
2222,"Kotobuki Spirits Co., Ltd.",02-Feb-26,,Dec-25," 1,740,470,000 "
RHLD,"Resolute Holdings Management, Inc.",02-Feb-26,,Dec-25," 1,627,870,000 "
2811,"Kagome Co., Ltd.",02-Feb-26,,Dec-25," 1,567,710,000 "
FINEORG,Fine Organic Industries Limited,02-Feb-26,,Dec-25," 1,464,280,000 "
531335,Zydus Wellness Limited,02-Feb-26,,Dec-25," 1,453,690,000 "
524208,Aarti Industries Limited,02-Feb-26,,Dec-25," 1,438,890,000 "
A030000,Cheil Worldwide Inc.,02-Feb-26,,Dec-25," 1,433,270,000 "
GCHE,"Public Joint Stock Company Cherkizovo Group""""",02-Feb-26,,Dec-25," 1,422,970,000 "
530007,JK Tyre & Industries Limited,02-Feb-26,,Dec-25," 1,387,790,000 "
