Ticker,Company,Date,Time,Quarter Ending,Market Cap
AMD,"Advanced Micro Devices, Inc.",03-Feb-26,After Hours,Dec-25,3.85406E+11
MRK,"Merck & Co., Inc.",03-Feb-26,,Dec-25,2.73693E+11
PEP,"PepsiCo, Inc.",03-Feb-26,,Dec-25,2.12497E+11
AMGN,Amgen Inc.,03-Feb-26,After Hours,Dec-25,1.84096E+11
PFE,Pfizer Inc.,03-Feb-26,,Dec-25,1.5033E+11
ETN,Eaton Corporation plc,03-Feb-26,,Dec-25,1.36492E+11
CB,Chubb Limited,03-Feb-26,,Dec-25,1.21828E+11
EMR,Emerson Electric Co.,03-Feb-26,,Dec-25,82635920000
TDG,TransDigm Group Incorporated,03-Feb-26,,Dec-25,80587970000
7974,"Nintendo Co., Ltd.",03-Feb-26,,Dec-25,76065450000
ITW,Illinois Tool Works Inc.,03-Feb-26,Pre Market,Dec-25,75791530000
MDLZ,"Mondelez International, Inc.",03-Feb-26,After Hours,Dec-25,75447260000
EPD,Enterprise Products Partners L.P.,03-Feb-26,Pre Market,Dec-25,71800630000
6503,Mitsubishi Electric Corporation,03-Feb-26,,Dec-25,64221800000
SU,Suncor Energy Inc.,03-Feb-26,,Dec-25,63761610000
BAJFINANCE,Bajaj Finance Limited,03-Feb-26,,Dec-25,62857210000
MPLX,MPLX LP,03-Feb-26,Pre Market,Dec-25,56853940000
MPC,Marathon Petroleum Corporation,03-Feb-26,Pre Market,Dec-25,52963150000
AME,"AMETEK, Inc.",03-Feb-26,,Dec-25,51561060000
CMG,"Chipotle Mexican Grill, Inc.",03-Feb-26,After Hours,Dec-25,51396950000
GWW,"W.W. Grainger, Inc.",03-Feb-26,Pre Market,Dec-25,51350430000
EA,Electronic Arts Inc.,03-Feb-26,After Hours,Dec-25,50858580000
PYPL,"PayPal Holdings, Inc.",03-Feb-26,Pre Market,Dec-25,49299500000
CTVA,"Corteva, Inc.",03-Feb-26,After Hours,Dec-25,49193290000
TTWO,"Take-Two Interactive Software, Inc.",03-Feb-26,After Hours,Dec-25,44372790000
8015,Toyota Tsusho Corporation,03-Feb-26,,Dec-25,40700300000
PRU,"Prudential Financial, Inc.",03-Feb-26,After Hours,Dec-25,39080330000
ADANIPORTS,Adani Ports and Special Economic Zone Limited,03-Feb-26,,Dec-25,36104020000
5802,"Sumitomo Electric Industries, Ltd.",03-Feb-26,,Dec-25,33687350000
2412,"Chunghwa Telecom Co., Ltd.",03-Feb-26,Pre Market,Dec-25,32675860000
ADVANC,Advanced Info Service Public Company Limited,03-Feb-26,,Dec-25,32414910000
WTW,Willis Towers Watson Public Limited Company,03-Feb-26,Pre Market,Dec-25,31540550000
ADM,Archer-Daniels-Midland Company,03-Feb-26,Pre Market,Dec-25,31323540000
512599,Adani Enterprises Limited,03-Feb-26,,Dec-25,30725100000
ATO,Atmos Energy Corporation,03-Feb-26,After Hours,Dec-25,27573180000
HUBB,Hubbell Incorporated,03-Feb-26,,Dec-25,26004260000
BR,"Broadridge Financial Solutions, Inc.",03-Feb-26,Pre Market,Dec-25,25521310000
VLTO,Veralto Corporation,03-Feb-26,,Jan-26,25492690000
PUB,Publicis Groupe S.A.,03-Feb-26,,Dec-25,25108030000
DIM,Sartorius Stedim Biotech S.A.,03-Feb-26,,Dec-25,24079420000
ALFA,Alfa Laval AB (publ),03-Feb-26,,Dec-25,22721280000
SMCI,"Super Micro Computer, Inc.",03-Feb-26,After Hours,Dec-25,19485140000
AMCR,Amcor plc,03-Feb-26,After Hours,Dec-25,18878290000
J,Jacobs Solutions Inc.,03-Feb-26,After Hours,Dec-25,18480340000
PNR,Pentair plc,03-Feb-26,,Dec-25,18398000000
IT,"Gartner, Inc.",03-Feb-26,Pre Market,Dec-25,17204900000
FORTUM,Fortum Oyj,03-Feb-26,,Dec-25,17191860000
PIDILITIND,Pidilite Industries Limited,03-Feb-26,,Dec-25,17075900000
VBL,Varun Beverages Limited,03-Feb-26,,Dec-25,16892570000
AMUN,Amundi S.A.,03-Feb-26,,Dec-25,15945220000
CHILE,Banco de Chile,03-Feb-26,,Dec-25,15459660000
CLX,The Clorox Company,03-Feb-26,,Dec-25,15067300000
OMC,Omnicom Group Inc.,03-Feb-26,,Dec-25,15034830000
BMED,Banca Mediolanum S.p.A.,03-Feb-26,,Dec-25,14767960000
SOLARINDS,Solar Industries India Limited,03-Feb-26,,Dec-25,14119940000
CSL,Carlisle Companies Incorporated,03-Feb-26,After Hours,Dec-25,13991570000
BALL,Ball Corporation,03-Feb-26,Pre Market,Dec-25,13675480000
1080,Arab National Bank,03-Feb-26,,Dec-25,13448870000
BOL,Boliden AB (publ),03-Feb-26,,Dec-25,13141510000
AFG,"American Financial Group, Inc.",03-Feb-26,After Hours,Dec-25,12401590000
RNR,RenaissanceRe Holdings Ltd.,03-Feb-26,After Hours,Dec-25,12214150000
LITE,Lumentum Holdings Inc.,03-Feb-26,After Hours,Dec-25,11450320000
SWKS,"Skyworks Solutions, Inc.",03-Feb-26,After Hours,Dec-25,11443770000
ATI,ATI Inc.,03-Feb-26,Pre Market,Dec-25,11203000000
MLI,"Mueller Industries, Inc.",03-Feb-26,,Dec-25,11125430000
JKHY,"Jack Henry & Associates, Inc.",03-Feb-26,After Hours,Dec-25,10628010000
9021,West Japan Railway Company,03-Feb-26,,Dec-25,9813290000
BPSO,Banca Popolare di Sondrio S.p.A,03-Feb-26,,Dec-25,9249980000
BBNI,PT Bank Negara Indonesia (Persero) Tbk,03-Feb-26,,Dec-25,9059130000
DOX,Amdocs Limited,03-Feb-26,After Hours,Dec-25,9054540000
ABCAPITAL,Aditya Birla Capital Limited,03-Feb-26,,Dec-25,8944350000
9107,"Kawasaki Kisen Kaisha, Ltd.",03-Feb-26,,Dec-25,8872050000
4062,"Ibiden Co.,Ltd.",03-Feb-26,,Dec-25,8731100000
MTCH,"Match Group, Inc.",03-Feb-26,After Hours,Dec-25,8258150000
526371,NMDC Limited,03-Feb-26,,Dec-25,8195490000
ZWS,Zurn Elkay Water Solutions Corporation,03-Feb-26,After Hours,Dec-25,7848160000
6841,Yokogawa Electric Corporation,03-Feb-26,,Dec-25,7756230000
