Ticker,Company,Date,Time,Quarter Ending, Market Cap 
MSFT,Microsoft Corporation,28-Jan-26,After Hours,25-Dec,"3,417,853,190,000"
META,"Meta Platforms, Inc.",28-Jan-26,After Hours,25-Dec,"1,563,357,240,000"
TSLA,"Tesla, Inc.",28-Jan-26,,25-Dec,"1,455,045,890,000"
ASML,ASML Holding N.V.,28-Jan-26,Pre Market,25-Dec,"522,992,700,000"
A000660,SK hynix Inc.,28-Jan-26,,25-Dec,"354,526,930,000"
LRCX,Lam Research Corporation,28-Jan-26,After Hours,25-Dec,"273,739,180,000"
IBM,International Business Machines Corporation,28-Jan-26,After Hours,25-Dec,"273,353,960,000"
APH,Amphenol Corporation,28-Jan-26,Pre Market,25-Dec,"184,820,140,000"
GEV,GE Vernova Inc.,28-Jan-26,Pre Market,25-Dec,"178,469,170,000"
T,AT&T Inc.,28-Jan-26,Pre Market,25-Dec,"167,240,110,000"
DHR,Danaher Corporation,28-Jan-26,Pre Market,25-Dec,"165,999,210,000"
NOW,"ServiceNow, Inc.",28-Jan-26,After Hours,25-Dec,"138,089,320,000"
PGR,The Progressive Corporation,28-Jan-26,,25-Nov,"120,815,420,000"
SBUX,Starbucks Corporation,28-Jan-26,Pre Market,25-Dec,"111,003,700,000"
6857,Advantest Corporation,28-Jan-26,,25-Dec,"109,823,180,000"
ADP,"Automatic Data Processing, Inc.",28-Jan-26,Pre Market,25-Dec,"104,295,200,000"
GD,General Dynamics Corporation,28-Jan-26,Pre Market,25-Dec,"97,979,740,000"
WM,"Waste Management, Inc.",28-Jan-26,After Hours,25-Dec,"92,349,210,000"
ELV,"Elevance Health, Inc.",28-Jan-26,Pre Market,25-Dec,"82,463,920,000"
GLW,Corning Incorporated,28-Jan-26,Pre Market,25-Dec,"79,991,720,000"
VOLV B,AB Volvo (publ),28-Jan-26,,25-Dec,"71,617,480,000"
NDA FI,Nordea Bank Abp,28-Jan-26,,25-Dec,"67,136,190,000"
CP,Canadian Pacific Kansas City Limited,28-Jan-26,After Hours,25-Dec,"65,616,280,000"
URI,"United Rentals, Inc.",28-Jan-26,After Hours,25-Dec,"58,478,010,000"
500510,Larsen & Toubro Limited,28-Jan-26,,25-Dec,"56,215,870,000"
MARUTI,Maruti Suzuki India Limited,28-Jan-26,,25-Dec,"53,078,970,000"
LONN,Lonza Group AG,28-Jan-26,,25-Dec,"49,897,270,000"
MSCI,MSCI Inc.,28-Jan-26,Pre Market,25-Dec,"44,314,290,000"
LVS,Las Vegas Sands Corp.,28-Jan-26,After Hours,25-Dec,"39,856,880,000"
FICO,Fair Isaac Corporation,28-Jan-26,After Hours,25-Dec,"37,244,980,000"
TEVA,Teva Pharmaceutical Industries Limited,28-Jan-26,Pre Market,25-Dec,"36,437,690,000"
CLS,Celestica Inc.,28-Jan-26,,25-Dec,"36,111,000,000"
OTIS,Otis Worldwide Corporation,28-Jan-26,Pre Market,25-Dec,"35,136,780,000"
RJF,"Raymond James Financial, Inc.",28-Jan-26,After Hours,25-Dec,"33,876,710,000"
500049,Bharat Electronics Limited,28-Jan-26,,25-Dec,"33,041,420,000"
GIB.A,CGI Inc.,28-Jan-26,Pre Market,25-Dec,"20,241,470,000"
SBILIFE,SBI Life Insurance Company Limited,28-Jan-26,,25-Dec,"20,158,800,000"
A012330,"Hyundai Mobis Co.,Ltd",28-Jan-26,,25-Dec,"18,872,010,000"
532343,TVS Motor Company Limited,28-Jan-26,,25-Dec,"18,491,780,000"
KPN,Koninklijke KPN N.V.,28-Jan-26,,25-Dec,"18,165,700,000"
2303,United Microelectronics Corporation,28-Jan-26,Pre Market,25-Dec,"18,106,320,000"
LII,Lennox International Inc.,28-Jan-26,,25-Dec,"17,261,420,000"
LUV,Southwest Airlines Co.,28-Jan-26,,25-Dec,"17,079,100,000"
EVO,Evolution AB (publ),28-Jan-26,,25-Dec,"16,204,390,000"
CHRW,"C.H. Robinson Worldwide, Inc.",28-Jan-26,After Hours,25-Dec,"15,989,540,000"
TXT,Textron Inc.,28-Jan-26,Pre Market,25-Dec,"15,477,130,000"
HLI,"Houlihan Lokey, Inc.",28-Jan-26,After Hours,25-Dec,"14,161,450,000"
NLY,"Annaly Capital Management, Inc.",28-Jan-26,,25-Dec,"13,329,500,000"
LODHA,Lodha Developers Limited,28-Jan-26,,25-Dec,"12,517,770,000"
ELS,"Equity LifeStyle Properties, Inc.",28-Jan-26,,25-Dec,"12,042,560,000"
TEL2 B,Tele2 AB (publ),28-Jan-26,,25-Dec,"11,723,820,000"
SF,Stifel Financial Corp.,28-Jan-26,,26-Jan,"11,384,160,000"
SEIC,SEI Investments Company,28-Jan-26,After Hours,25-Dec,"10,584,780,000"
3008,"LARGAN Precision Co.,Ltd",28-Jan-26,,25-Dec,"10,468,010,000"
LEVI,Levi Strauss & Co.,28-Jan-26,After Hours,25-Nov,"9,673,750,000"
SBICARD,SBI Cards and Payment Services Limited,28-Jan-26,,25-Dec,"9,561,100,000"
TTEK,"Tetra Tech, Inc.",28-Jan-26,After Hours,25-Dec,"8,865,970,000"
SCC,The Siam Cement Public Company Limited,28-Jan-26,,25-Dec,"8,501,160,000"
EDU,New Oriental Education & Technology Group Inc.,28-Jan-26,,25-Dec,"8,337,650,000"
SSAB A,SSAB AB (publ),28-Jan-26,,25-Dec,"7,991,810,000"
AXS,AXIS Capital Holdings Limited,28-Jan-26,,25-Dec,"7,829,350,000"
NFG,National Fuel Gas Company,28-Jan-26,After Hours,25-Dec,"7,788,580,000"
SAVE,Nordnet AB (publ),28-Jan-26,,25-Dec,"7,445,120,000"
VFC,V.F. Corporation,28-Jan-26,Pre Market,25-Dec,"7,361,250,000"
503100,The Phoenix Mills Limited,28-Jan-26,,25-Dec,"6,987,710,000"
PB,"Prosperity Bancshares, Inc.",28-Jan-26,Pre Market,25-Dec,"6,846,550,000"
1942,"Kandenko Co.,Ltd.",28-Jan-26,,25-Dec,"6,797,320,000"
LFUS,"Littelfuse, Inc.",28-Jan-26,Pre Market,25-Dec,"6,736,650,000"
HXL,Hexcel Corporation,28-Jan-26,After Hours,25-Dec,"6,101,790,000"
KALYANKJIL,Kalyan Jewellers India Limited,28-Jan-26,,25-Dec,"5,786,270,000"
BMI,"Badger Meter, Inc.",28-Jan-26,Pre Market,25-Dec,"5,217,040,000"
502355,Balkrishna Industries Limited,28-Jan-26,,25-Dec,"5,179,890,000"
LSTR,"Landstar System, Inc.",28-Jan-26,After Hours,25-Dec,"5,108,770,000"
3231,"Nomura Real Estate Holdings, Inc.",28-Jan-26,,25-Dec,"5,069,760,000"
EAT,"Brinker International, Inc.",28-Jan-26,Pre Market,25-Dec,"5,052,270,000"
ME8U,Mapletree Industrial Trust,28-Jan-26,,25-Dec,"4,780,890,000"
MTH,Meritage Homes Corporation,28-Jan-26,After Hours,25-Dec,"4,774,980,000"
A034220,"LG Display Co., Ltd.",28-Jan-26,Pre Market,25-Dec,"4,631,210,000"
WHR,Whirlpool Corporation,28-Jan-26,After Hours,25-Dec,"4,474,350,000"
4190,Jarir Marketing Company,28-Jan-26,,25-Dec,"4,428,210,000"
8060,Canon Marketing Japan Inc.,28-Jan-26,,25-Dec,"4,395,270,000"
PLXS,Plexus Corp.,28-Jan-26,After Hours,25-Dec,"4,387,260,000"
MPHC,Mesaieed Petrochemical Holding Company Q.P.S.C.,28-Jan-26,,25-Dec,"4,375,800,000"
MUR,Murphy Oil Corporation,28-Jan-26,After Hours,25-Dec,"4,346,180,000"
AVT,"Avnet, Inc.",28-Jan-26,Pre Market,25-Dec,"4,328,380,000"
PROT,Protector Forsikring ASA,28-Jan-26,,25-Dec,"4,046,090,000"
VIAV,Viavi Solutions Inc.,28-Jan-26,After Hours,25-Dec,"4,017,580,000"
Q *,"Quálitas Controladora, S.A.B. de C.V.",28-Jan-26,,25-Dec,"3,868,510,000"
DFM,Dubai Financial Market P.J.S.C.,28-Jan-26,,25-Dec,"3,765,940,000"
ACC,ACC Limited,28-Jan-26,,25-Dec,"3,722,980,000"
CALX,"Calix, Inc.",28-Jan-26,,25-Dec,"3,712,810,000"
AJANTPHARM,Ajanta Pharma Limited,28-Jan-26,,25-Dec,"3,687,490,000"
