Ticker,Company,Date,Time,Quarter Ending,Market Cap
1211,Saudi Arabian Mining Company (Maaden),23-Feb-26,,Dec-25,73240080000
D,"Dominion Energy, Inc.",23-Feb-26,Pre Market,Dec-25,56324120000
OKE,"ONEOK, Inc.",23-Feb-26,After Hours,Dec-25,54950790000
FANG,"Diamondback Energy, Inc.",23-Feb-26,After Hours,Dec-25,50408440000
601211,"Guotai Haitong Securities Co., Ltd.",23-Feb-26,,Dec-25,47721220000
ROSN,Public Joint Stock Company Rosneft Oil Company,23-Feb-26,,Dec-25,43323750000
KEYS,"Keysight Technologies, Inc.",23-Feb-26,,Jan-26,39612030000
BBRI,PT Bank Rakyat Indonesia (Persero) Tbk,23-Feb-26,,Dec-25,33713880000
GMKN,Public Joint Stock Company Mining and Metallurgical Company Norilsk Nickel,23-Feb-26,,Dec-25,33189360000
WDS,Woodside Energy Group Ltd,23-Feb-26,,Dec-25,30156790000
SIBN,Public Joint Stock Company Gazprom Neft,23-Feb-26,,Dec-25,23591000000
VIVT3,Telefônica Brasil S.A.,23-Feb-26,,Dec-25,20082270000
2502,"Asahi Group Holdings, Ltd.",23-Feb-26,,Dec-25,17430950000
BWXT,"BWX Technologies, Inc.",23-Feb-26,After Hours,Dec-25,17058660000
KTOS,"Kratos Defense & Security Solutions, Inc.",23-Feb-26,,Dec-25,16236340000
SMMT,Summit Therapeutics Inc.,23-Feb-26,,Dec-25,15919200000
2887,"TS Financial Holding Co., Ltd.",23-Feb-26,,Dec-25,14923530000
ERIE,Erie Indemnity Company,23-Feb-26,After Hours,Dec-25,14789670000
DPZ,"Domino's Pizza, Inc.",23-Feb-26,,Dec-25,14486340000
EMA,Emera Incorporated,23-Feb-26,,Dec-25,14332280000
CIBEST,Grupo Cibest S.A.,23-Feb-26,After Hours,Dec-25,13765640000
1080,Arab National Bank,23-Feb-26,,Dec-25,13448870000
CPALL,CP ALL Public Company Limited,23-Feb-26,,Dec-25,13252850000
BDO,"BDO Unibank, Inc.",23-Feb-26,,Dec-25,12700650000
BEAN,BELIMO Holding AG,23-Feb-26,,Dec-25,12514910000
PMETAL,Press Metal Aluminium Holdings Berhad,23-Feb-26,,Dec-25,11689760000
THAI,Thai Airways International Public Company Limited,23-Feb-26,,Dec-25,11645280000
GAP B,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V.",23-Feb-26,,Dec-25,11607110000
BMRN,BioMarin Pharmaceutical Inc.,23-Feb-26,After Hours,Dec-25,10643370000
MER,Manila Electric Company,23-Feb-26,,Dec-25,10619370000
OVV,Ovintiv Inc.,23-Feb-26,After Hours,Dec-25,10312340000
WCP,Whitecap Resources Inc.,23-Feb-26,,Dec-25,9267040000
HIMS,"Hims & Hers Health, Inc.",23-Feb-26,After Hours,Dec-25,8882850000
YTLPOWR,YTL Power International Berhad,23-Feb-26,,Dec-25,8825350000
AXSM,"Axsome Therapeutics, Inc.",23-Feb-26,Pre Market,Dec-25,8645260000
SUNWAY,Sunway Berhad,23-Feb-26,,Dec-25,8565790000
1301,Formosa Plastics Corporation,23-Feb-26,,Dec-25,8464050000
CHMF,Public Joint Stock Company Severstal,23-Feb-26,,Dec-25,8355870000
PCHEM,PETRONAS Chemicals Group Berhad,23-Feb-26,,Dec-25,8136880000
