Ticker,Company,Date,Time,Quarter Ending,Market Cap
HD,"The Home Depot, Inc.",24-Feb-26,,Feb-26,3.80534E+11
CEG,Constellation Energy Corporation,24-Feb-26,,Dec-25,1.06837E+11
MELI,"MercadoLibre, Inc.",24-Feb-26,After Hours,Dec-25,1.01236E+11
BNS,The Bank of Nova Scotia,24-Feb-26,,Jan-26,95507810000
AMT,American Tower Corporation,24-Feb-26,,Dec-25,87688540000
O39,Oversea-Chinese Banking Corporation Limited,24-Feb-26,,Dec-25,77018350000
EOG,"EOG Resources, Inc.",24-Feb-26,After Hours,Dec-25,66783020000
O,Realty Income Corporation,24-Feb-26,After Hours,Dec-25,60842570000
STAN,Standard Chartered PLC,24-Feb-26,,Dec-25,54574800000
601211,"Guotai Haitong Securities Co., Ltd.",24-Feb-26,,Dec-25,47721220000
ROSN,Public Joint Stock Company Rosneft Oil Company,24-Feb-26,,Dec-25,43323750000
WDAY,"Workday, Inc.",24-Feb-26,After Hours,Jan-26,42847960000
ELE,"Endesa, S.A.",24-Feb-26,,Dec-25,39082080000
KDP,Keurig Dr Pepper Inc.,24-Feb-26,Pre Market,Dec-25,38597350000
ALC,Alcon Inc.,24-Feb-26,After Hours,Dec-25,38480030000
GMKN,Public Joint Stock Company Mining and Metallurgical Company Norilsk Nickel,24-Feb-26,,Dec-25,33189360000
AXON,"Axon Enterprise, Inc.",24-Feb-26,After Hours,Dec-25,32902920000
NRG,"NRG Energy, Inc.",24-Feb-26,Pre Market,Dec-25,29138770000
FSLR,"First Solar, Inc.",24-Feb-26,After Hours,Dec-25,26154210000
MTX,MTU Aero Engines AG,24-Feb-26,,Dec-25,24174970000
SIBN,Public Joint Stock Company Gazprom Neft,24-Feb-26,,Dec-25,23591000000
TEF,"Telefónica, S.A.",24-Feb-26,,Dec-25,21828210000
CSGP,"CoStar Group, Inc.",24-Feb-26,After Hours,Dec-25,21309810000
AS,"Amer Sports, Inc.",24-Feb-26,Pre Market,Dec-25,20535780000
EXPD,"Expeditors International of Washington, Inc.",24-Feb-26,Pre Market,Dec-25,18854060000
HPQ,HP Inc.,24-Feb-26,After Hours,Jan-26,18699340000
GDDY,GoDaddy Inc.,24-Feb-26,After Hours,Dec-25,18690620000
KOF,"Coca-Cola FEMSA, S.A.B. de C.V.",24-Feb-26,,Dec-25,17067160000
TEM,"Tempus AI, Inc.",24-Feb-26,After Hours,Dec-25,15923870000
SUI,"Sun Communities, Inc.",24-Feb-26,After Hours,Dec-25,15692280000
C6L,Singapore Airlines Limited,24-Feb-26,,Dec-25,15663280000
FME,Fresenius Medical Care AG,24-Feb-26,Pre Market,Dec-25,15526880000
WTC,WiseTech Global Limited,24-Feb-26,,Dec-25,14802760000
2020,SABIC Agri-Nutrients Company,24-Feb-26,,Dec-25,14799550000
FALABELLA,Falabella S.A.,24-Feb-26,,Dec-25,14759440000
1080,Arab National Bank,24-Feb-26,,Dec-25,13448870000
CPALL,CP ALL Public Company Limited,24-Feb-26,,Dec-25,13252850000
BBIO,"BridgeBio Pharma, Inc.",24-Feb-26,After Hours,Dec-25,12761180000
PMETAL,Press Metal Aluminium Holdings Berhad,24-Feb-26,,Dec-25,11689760000
PEN,"Penumbra, Inc.",24-Feb-26,,Dec-25,10976770000
MOS,The Mosaic Company,24-Feb-26,,Dec-25,10959070000
EFN,Element Fleet Management Corp.,24-Feb-26,,Dec-25,10570860000
WLK,Westlake Corporation,24-Feb-26,Pre Market,Dec-25,10555950000
ELAN,Elanco Animal Health Incorporated,24-Feb-26,Pre Market,Dec-25,10254230000
DDS,"Dillard's, Inc.",24-Feb-26,,Jan-26,9621490000
ASUR B,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",24-Feb-26,,Dec-25,9466510000
DRS,"Leonardo DRS, Inc.",24-Feb-26,Pre Market,Dec-25,9433310000
SPXC,"SPX Technologies, Inc.",24-Feb-26,After Hours,Dec-25,9380970000
CORT,Corcept Therapeutics Incorporated,24-Feb-26,After Hours,Dec-25,9288520000
RRC,Range Resources Corporation,24-Feb-26,After Hours,Dec-25,9103320000
MEL,Meridian Energy Limited,24-Feb-26,,Dec-25,9091420000
U96,Sembcorp Industries Ltd,24-Feb-26,,Dec-25,8578470000
AWI,"Armstrong World Industries, Inc.",24-Feb-26,,Dec-25,8511940000
JAZZ,Jazz Pharmaceuticals plc,24-Feb-26,After Hours,Dec-25,8460690000
PLNT,"Planet Fitness, Inc.",24-Feb-26,Pre Market,Dec-25,8444610000
RGEN,Repligen Corporation,24-Feb-26,Pre Market,Dec-25,8367200000
CHMF,Public Joint Stock Company Severstal,24-Feb-26,,Dec-25,8355870000
GMED,"Globus Medical, Inc.",24-Feb-26,After Hours,Dec-25,8168260000
HSIC,"Henry Schein, Inc.",24-Feb-26,Pre Market,Dec-25,8128620000
CYTK,"Cytokinetics, Incorporated",24-Feb-26,After Hours,Dec-25,8062150000
3037,Unimicron Technology Corp.,24-Feb-26,,Dec-25,7842380000
PSPN,PSP Swiss Property AG,24-Feb-26,,Dec-25,7828290000
DSY,Discovery Limited,24-Feb-26,,Dec-25,7776320000
ISA,Interconexión Eléctrica S.A. E.S.P.,24-Feb-26,,Dec-25,7772250000
CEG,"Constellation Energy Group, Inc.",24-Feb-26,,Dec-25,7515960000
CAVA,"CAVA Group, Inc.",24-Feb-26,After Hours,Dec-25,7362800000
CIFR,Cipher Mining Inc.,24-Feb-26,Pre Market,Dec-25,7174870000
G13,Genting Singapore Limited,24-Feb-26,,Dec-25,6816350000
EXLS,"ExlService Holdings, Inc.",24-Feb-26,After Hours,Dec-25,6601830000
CHDRAUI B,"Grupo Comercial Chedraui, S.A.B. de C.V.",24-Feb-26,,Dec-25,6594540000
CTEC,Convatec Group PLC,24-Feb-26,,Dec-25,6316930000
IOICORP,IOI Corporation Berhad,24-Feb-26,,Dec-25,6247990000
VTBR,VTB Bank (public joint-stock company),24-Feb-26,,Dec-25,6202490000
NRP,NEPI Rockcastle N.V.,24-Feb-26,,Dec-25,6180540000
LTH,"Life Time Group Holdings, Inc.",24-Feb-26,Pre Market,Dec-25,6114800000
PCVX,"Vaxcyte, Inc.",24-Feb-26,After Hours,Dec-25,6025620000
BRFS3,BRF S.A.,24-Feb-26,,Dec-25,5677320000
5871,Chailease Holding Company Limited,24-Feb-26,,Dec-25,5611750000
PETDAG,PETRONAS Dagangan Berhad,24-Feb-26,,Dec-25,5446420000
LCID,"Lucid Group, Inc.",24-Feb-26,After Hours,Dec-25,5377950000
MMSI,"Merit Medical Systems, Inc.",24-Feb-26,After Hours,Dec-25,5224660000
EDEN,Edenred SE,24-Feb-26,,Dec-25,5193660000
MCY,Mercury NZ Limited,24-Feb-26,,Dec-25,5193210000
CRDA,Croda International Plc,24-Feb-26,,Dec-25,5174030000
MTDR,Matador Resources Company,24-Feb-26,After Hours,Dec-25,5146050000
ECG,"Everus Construction Group, Inc.",24-Feb-26,After Hours,Dec-25,4909380000
A028300,"HLB Co., Ltd.",24-Feb-26,,Dec-25,4873030000
SHC,Sotera Health Company,24-Feb-26,Pre Market,Dec-25,4798350000
UTG,Unite Group PLC,24-Feb-26,,Dec-25,4791280000
