Ticker,Company,Date,Time,Quarter Ending,Market Cap
PG,The Procter & Gamble Company,22-Jan-26,,25-Dec,"337,728,100,000"
INTC,Intel Corporation,22-Jan-26,After Hours,25-Dec,"234,085,110,000"
ABT,Abbott Laboratories,22-Jan-26,Pre Market,25-Dec,"211,720,440,000"
ISRG,"Intuitive Surgical, Inc.",22-Jan-26,After Hours,25-Dec,"189,655,400,000"
COF,Capital One Financial Corporation,22-Jan-26,After Hours,25-Dec,"152,029,330,000"
INVE A,Investor AB (publ),22-Jan-26,,25-Dec,"115,757,680,000"
FCX,Freeport-McMoRan Inc.,22-Jan-26,,25-Dec,"84,303,490,000"
CSX,CSX Corporation,22-Jan-26,After Hours,25-Dec,"67,498,150,000"
EQT,EQT AB (publ),22-Jan-26,,25-Dec,"46,598,460,000"
A034020,"Doosan Enerbility Co., Ltd.",22-Jan-26,,25-Dec,"41,455,320,000"
HBAN,Huntington Bancshares Incorporated,22-Jan-26,Pre Market,25-Dec,"28,253,480,000"
NTRS,Northern Trust Corporation,22-Jan-26,Pre Market,25-Dec,"27,529,820,000"
DLF,DLF Limited,22-Jan-26,,25-Dec,"20,331,290,000"
INDIGO,InterGlobe Aviation Limited,22-Jan-26,,25-Dec,"20,194,910,000"
MKC,"McCormick & Company, Incorporated",22-Jan-26,Pre Market,25-Nov,"18,488,860,000"
ESSITY B,Essity AB (publ),22-Jan-26,,25-Dec,"18,161,660,000"
TRYG,Tryg A/S,22-Jan-26,,25-Dec,"15,345,200,000"
EWBC,"East West Bancorp, Inc.",22-Jan-26,After Hours,25-Dec,"14,679,400,000"
BKT,"Bankinter, S.A.",22-Jan-26,,25-Dec,"14,554,030,000"
ADANIENSOL,Adani Energy Solutions Limited,22-Jan-26,,25-Dec,"12,399,230,000"
INDIANB,Indian Bank,22-Jan-26,,25-Dec,"11,621,030,000"
ORI,Old Republic International Corporation,22-Jan-26,Pre Market,25-Dec,"10,551,790,000"
A009150,"Samsung Electro-Mechanics Co., Ltd.",22-Jan-26,,25-Dec,"10,306,040,000"
MBLY,Mobileye Global Inc.,22-Jan-26,Pre Market,25-Dec,"10,164,040,000"
SSB,SouthState Bank Corporation,22-Jan-26,After Hours,25-Dec,"9,011,200,000"
AA,Alcoa Corporation,22-Jan-26,After Hours,25-Dec,"8,932,690,000"
ATGL,Adani Total Gas Limited,22-Jan-26,,25-Dec,"7,894,340,000"
CADE,Cadence Bank,22-Jan-26,Pre Market,25-Dec,"7,239,890,000"
COFORGE,Coforge Limited,22-Jan-26,,25-Dec,"6,908,890,000"
A010950,S-Oil Corporation,22-Jan-26,,25-Dec,"6,726,090,000"
KIMBER A,"Kimberly-Clark de México, S. A. B. de C. V.",22-Jan-26,,25-Dec,"6,303,270,000"
533758,APL Apollo Tubes Limited,22-Jan-26,,25-Dec,"6,065,310,000"
GBCI,"Glacier Bancorp, Inc.",22-Jan-26,After Hours,25-Dec,"5,973,400,000"
526299,Mphasis Limited,22-Jan-26,,25-Dec,"5,925,850,000"
MARK,AlRayan Bank Q.P.S.C.,22-Jan-26,,25-Dec,"5,722,290,000"
SLM,SLM Corporation,22-Jan-26,After Hours,25-Dec,"5,632,290,000"
MRP,"Millrose Properties, Inc.",22-Jan-26,,25-Dec,"5,277,250,000"
ALK,"Alaska Air Group, Inc.",22-Jan-26,After Hours,25-Dec,"5,036,230,000"
